Sl. No,Company/Client Name,Contact Name,Mobile,Email,Notes,1st Follow Up,2nd Follow Up,3rd Follow Up,Quotation,LPO,Invoice,Remarks
39,ServeU,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
40,Deyaar Facilities Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
41,Transguard Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: retyn.ai / sothebysrealty.ae,Not yet,Not yet,Not yet,,,,Facilities Management
42,Blue Diamond Facilities Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
43,Cleanco,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
44,Khidmah,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Facilities Management
45,Marafeq Facilities Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
46,Etisalat Facilities Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
47,ENGIE Cofely Energy Services,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
48,Advanced Facilities Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: mordorintelligence.com,Not yet,Not yet,Not yet,,,,Facilities Management
49,Gensler Middle East (Dubai),Procurement / Projects Team,Switchboard – see website,via website form,Source: dubaidesigndistrict.com,Not yet,Not yet,Not yet,,,,Design/Consultant
50,Perkins&Will Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: dubaidesigndistrict.com,Not yet,Not yet,Not yet,,,,Design/Consultant
51,HBA Dubai (Hirsch Bedner Associates),Procurement / Projects Team,Switchboard – see website,via website form,Source: dubaidesigndistrict.com,Not yet,Not yet,Not yet,,,,Design/Consultant
52,LW Design Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: dubaidesigndistrict.com,Not yet,Not yet,Not yet,,,,Design/Consultant
53,GAJ (Godwin Austen Johnson),Procurement / Projects Team,Switchboard – see website,via website form,Source: dubaidesigndistrict.com,Not yet,Not yet,Not yet,,,,Design/Consultant
54,Roar (Pallavi Dean Interiors),Procurement / Projects Team,Switchboard – see website,via website form,Source: dubaidesigndistrict.com,Not yet,Not yet,Not yet,,,,Design/Consultant
55,Kristina Zanic Consultants,Procurement / Projects Team,Switchboard – see website,via website form,Source: dubaidesigndistrict.com,Not yet,Not yet,Not yet,,,,Design/Consultant
56,Wilson Associates (Dubai),Procurement / Projects Team,Switchboard – see website,via website form,Source: dubaidesigndistrict.com,Not yet,Not yet,Not yet,,,,Design/Consultant
57,SSH Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Design/Consultant
58,KEO International Consultants,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Design/Consultant
59,WSP Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Design/Consultant
60,AtkinsRéalis (formerly Atkins),Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Design/Consultant
61,AECOM Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Design/Consultant
62,RSP Architects Planners & Engineers,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Design/Consultant
63,RMJM Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: industry lists,Not yet,Not yet,Not yet,,,,Design/Consultant
64,Emaar Community Management (ECM),Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
65,Deyaar Community Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
66,Provis (Aldar),Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
67,KAIZEN Asset Management Services,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
68,Asteco Property Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
69,Betterhomes Property Management,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
70,CBRE Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
71,Colliers MENA,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
72,Knight Frank Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
73,Savills Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,Property/Community Mgmt
74,Burj Al Arab Jumeirah,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
75,Jumeirah Al Naseem,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
76,"Atlantis, The Palm",Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
77,Atlantis The Royal,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
78,Address Downtown,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
79,Address Dubai Marina,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
80,JW Marriott Marquis Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
81,Vida Hotels and Resorts,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
82,Rove Hotels,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
83,One&Only The Palm,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
84,One&Only Royal Mirage,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
85,"Mandarin Oriental Jumeira, Dubai",Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
86,Park Hyatt Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
87,Nikki Beach Resort & Spa Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
88,ME Dubai by Meliá,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
89,SIRO One Za'abeel,Procurement / Projects Team,Switchboard – see website,via website form,Source: curated hotel lists,Not yet,Not yet,Not yet,,,,Hotel/Operator
90,Rikas Hospitality Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
91,Solutions Leisure Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
92,Bull & Roo Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
93,Gates Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
94,Jumeirah Group F&B,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
95,Emaar Hospitality F&B,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
96,Meraas F&B (Dubai Holding Entertainment),Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
97,ADDmind Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
98,Pinza Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
99,SSP Group (UAE),Procurement / Projects Team,Switchboard – see website,via website form,Source: public directories,Not yet,Not yet,Not yet,,,,F&B Group
100,Gensler Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
101,Perkins&Will Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
102,HBA (Hirsch Bedner Associates) Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
103,LW Design Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
104,GAJ (Godwin Austen Johnson),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
105,Roar (Pallavi Dean Interiors),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
106,Kristina Zanic Consultants,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
107,SSH Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
108,KEO International Consultants,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
109,AECOM Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
110,WSP Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
111,AtkinsRéalis (formerly Atkins),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
112,RSP Architects Planners & Engineers,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
113,RMJM Dubai,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
114,HOK Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
115,HKS Architects Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
116,CallisonRTKL Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
117,dwp | design worldwide partnership,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
118,Bluehaus Group,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
119,XBD Collective,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
120,Studio EM,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
121,Bishop Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
122,Stickman Tribe,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
123,Zebra Projects,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
124,Wilson Associates (Dubai),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
125,Aedas Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
126,LWK + Partners,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
127,Benoy Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
128,Nikken Sekkei (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
129,Populous Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
130,B+H Architects Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
131,Perkins Eastman Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
132,HDR Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
133,KPF (Kohn Pedersen Fox) Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
134,Foster + Partners (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
135,Zaha Hadid Architects (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
136,"SOM (Skidmore, Owings & Merrill) ME",Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
137,Grimshaw Architects (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
138,BDP Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
139,IBI Group / Arcadis (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
140,Arcadis Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
141,Mott MacDonald (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
142,NorR Consultants,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
143,Pelli Clarke & Partners (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
144,LEESFISHER Interiors (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
145,Rockwell Group (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
146,Studio HBA (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
147,Wimberly Interiors (WATG),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
148,WATG Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
149,Lacasa Architects & Engineering Consultants,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
150,NAGA Architects,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
151,Brewer Smith Brewer (BSBG),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
152,Godwin Austen Johnson – Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
153,RMJM – Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
154,Archtech Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
155,RMZ Design Studio,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
156,Kinnersley Kent Design (ME),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
157,H2R Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
158,H2R Architects,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
159,Gauri Kadam Studio,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
160,Lulie Fisher Design Studio,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
161,Sneha Divias Atelier,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
162,VSHD Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
163,Anarchitect,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
164,ALGEDRA Interior Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
165,Spazio Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
166,Designsmith Interior Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
167,Zen Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
168,Urban Nest Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
169,The Big Fitout – Design,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
170,Keane Brands Middle East,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
171,Mercury Studio,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
172,LXA (Middle East),Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
173,Verdant Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
174,SuperFutureDesign*,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
175,Roar Studio – Hospitality,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
176,GA Group – Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
177,LW Design – Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
178,Bluehaus – Interiors,Procurement / Projects Team,Switchboard – see website,via website form,Source: public UAE design directories / company sites (to enrich),Not yet,Not yet,Not yet,,,,Design/Consultant
